Num de epochs,Accuracy,Tempo,LL
1,0.9276,108.43040680885315,-0.28234
2,0.962,116.36742949485779,-0.13804
3,0.9702,124.8746600151062,-0.11061
4,0.9626,133.41295099258423,-0.10938
5,0.9694,142.12473058700562,-0.01669
6,0.9726,152.38063979148865,-0.01126
7,0.9736,159.65646290779114,-0.01338
8,0.974,167.794780254364,-0.01488
9,0.9766,175.5815143585205,-0.01532
10,0.9742,184.35436153411865,-0.02806
11,0.9756,193.48382949829102,-0.00201
12,0.9736,201.81868433952332,-0.00959
13,0.9784,210.1412582397461,-0.00292
